year,q1_households,q2_households,q3_households,q4_households
2010,711590,664489,579677,620657
2015,703575,646472,574747,740940
2020,690549,612393,635451,801498
2025,808288,653438,580686,893667
2030,882005,678446,633961,1014240
2035,974447,723457,678966,1115504
2040,1042588,755047,718665,1197567
2045,1096017,776097,755245,1265877
2050,1145197,788777,788268,1332723
