Year,age0004,age0519,age2044,age4564,age65p
2010,447575,1321773,2581035,1931699,884968
2015,443193,1336227,2750266,2039829,1086042
2020,423822,1364797,2792002,2082033,1272452
2025,408531,1369155,2831248,2130958,1490333
2030,400880,1356484,2855026,2235717,1706808
2035,416470,1366483,2915326,2413851,1883387
2040,448143,1402936,3067506,2552610,2028175
2045,467546,1458945,3253998,2603670,2169704
2050,474979,1522143,3342822,2666121,2358347
