"quartile","tenure","aggregate_income","aggregate_rent","aggregate_owncosts","aggregate_costs","households","share_income","short_name"
"Quartile1","Owner",486392439.667508,0,317549754,317549754,241734,0.652867372315806,"q1o"
"Quartile1","Renter",758175324.472309,524135985,0,524135985,427630,0.691312376019094,"q1r"
"Quartile1","Total",1244567764.13982,524135985,317549754,841685739,669364,0.676287594176707,"q1t"
"Quartile2","Owner",1679469661.75789,0,514750158,514750158,311711,0.306495657361988,"q2o"
"Quartile2","Renter",1703712026.0066,539043628,0,539043628,324810,0.316393627427451,"q2r"
"Quartile2","Total",3383181687.76449,539043628,514750158,1053793786,636521,0.311480104604231,"q2t"
"Quartile3","Owner",3337725675.4815,0,769332981,769332981,355624,0.23049616888872,"q3o"
"Quartile3","Renter",2075464150.41143,467285381,0,467285381,224109,0.225147411439204,"q3r"
"Quartile3","Total",5413189825.89293,467285381,769332981,1236618362,579733,0.228445408672882,"q3t"
"Quartile4","Owner",13611644467.0403,0,1909939341,1909939341,588865,0.14031657568083,"q4o"
"Quartile4","Renter",3967128676.6331,507381009,0,507381009,201311,0.127896282262922,"q4r"
"Quartile4","Total",17578773143.6734,507381009,1909939341,2417320350,790176,0.137513598374753,"q4t"
