"hu_type","q1r","q1o","q2r","q2o","q3r","q3o","q4r","q4o","tr","to","tt"
"dr",58867,0,58867,0,0,0,0,0,117735,0,117735
"su",36123,0,36123,0,0,0,0,0,72246,0,72246
"pc",62078,0,46559,0,46559,0,0,0,155196,0,155196
"ma",270562,241734,183261,311711,177550,355624,201311,588865,832683,2330617,2330617
"total",427630,241734,324810,311711,224109,355624,201311,588865,1177860,1497934,2675794
