"hu_type","q1r","q1o","q2r","q2o","q3r","q3o","q4r","q4o"
"dr",0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
"su",0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
"pc",0.872,0.56,0.277,0.263,0.199,0.198,0.11,0.12
"ma",1.018,0.653,0.323,0.306,0.232,0.23,0.128,0.14
