"quartile","tenure","aggregate_income","aggregate_rent","aggregate_owncosts","aggregate_costs","share_income"
"Quartile1","Owner",486392439.667508,0,317549754,317549754,0.652867372315806
"Quartile1","Renter",780086065.2695,524135985,0,524135985,0.671895074576065
"Quartile1","Total",1266478504.93701,524135985,317549754,841685739,0.6645874649423
"Quartile2","Owner",1679469661.75789,0,514750158,514750158,0.306495657361988
"Quartile2","Renter",1751308024.73439,539043628,0,539043628,0.307794871254447
"Quartile2","Total",3430777686.49227,539043628,514750158,1053793786,0.30715886667592
"Quartile3","Owner",3337725675.4815,0,769332981,769332981,0.23049616888872
"Quartile3","Renter",2119403755.4587,467285381,0,467285381,0.220479641878744
"Quartile3","Total",5457129430.9402,467285381,769332981,1236618362,0.226606016523772
"Quartile4","Owner",13611644467.0403,0,1909939341,1909939341,0.14031657568083
"Quartile4","Renter",4054232562.45493,507381009,0,507381009,0.125148471673457
"Quartile4","Total",17665877029.4952,507381009,1909939341,2417320350,0.136835569836924
