"hu_type","q1r","q1o","q2r","q2o","q3r","q3o","q4r","q4o","tr","to","tt"
"dr",491680,0,0,0,0,0,0,0,491680,0,491680
"su",109170,0,0,0,0,0,0,0,109170,0,109170
"pc",57957,0,43468,0,43468,0,0,0,144892,0,144892
"ma",71087,412600,358643,385894,259471,480713,338627,990534,1027829,2269741,3297570
"total",729894,412600,402111,385894,302939,480713,338627,990534,1773571,2269741,4043312
