"hu_type","q1r","q1o","q2r","q2o","q3r","q3o","q4r","q4o","tr","to","tt"
"dr",117769,0,0,0,0,0,0,0,117769,0,117769
"su",72268,0,0,0,0,0,0,0,72268,0,72268
"pc",62097,0,46572,0,46572,0,0,0,155241,0,155241
"ma",199180,255122,284658,317872,176513,354000,189535,554418,849886,1481412,2331298
"total",451314,255122,331230,317872,223085,354000,189535,554418,1195164,1481412,2676576
