"quartile","tenure","aggregate_income","aggregate_rent","aggregate_owncosts","aggregate_costs","households","share_income","short_name"
"Quartile1","Owner",492643430.79148,0,327287028,327287028,221425,0.664348710535288,"q1o"
"Quartile1","Renter",711404911.311125,519649801,0,519649801,362447,0.730455740096426,"q1r"
"Quartile1","Total",1204048342.10261,519649801,327287028,846936829,583872,0.703407661789569,"q1t"
"Quartile2","Owner",1821162288.46682,0,546988400,546988400,296523,0.300351266586182,"q2o"
"Quartile2","Renter",1900856821.63886,628789509,0,628789509,314404,0.330792672989371,"q2r"
"Quartile2","Total",3722019110.10569,628789509,546988400,1175777909,610927,0.315897870004922,"q2t"
"Quartile3","Owner",3850852070.20006,0,860129989,860129989,356431,0.22336095319167,"q3o"
"Quartile3","Renter",2651017089.52749,599488066,0,599488066,248342,0.226135119372939,"q3r"
"Quartile3","Total",6501869159.72755,599488066,860129989,1459618055,604773,0.22449206822568,"q3t"
"Quartile4","Owner",18193379513.6047,0,2382722275,2382722275,656265,0.130966447064892,"q4o"
"Quartile4","Renter",6352711902.76408,766368457,0,766368457,267058,0.120636425628959,"q4r"
"Quartile4","Total",24546091416.3688,766368457,2382722275,3149090732,923323,0.128292960316281,"q4t"
