variable, type, length, missing_value, null_ok, required, longer_name, decription, notes
hu_type, string, 25, , no, yes, Type of Housing Unit, , 
q1r, int, long, , no, yes, Count of Q1 Renter HHs, count of HH in this segment, 
q1o, int, long, , no, yes, Count of Q1 Owner HHs, count of HH in this segment, 
q2r, int, long, , no, yes, Count of Q2 Renter HHs, count of HH in this segment, 
q2o, int, long, , no, yes, Count of Q2 Owner HHs, count of HH in this segment, 
q3r, int, long, , no, yes, Count of Q3 Renter HHs, count of HH in this segment, 
q3o, int, long, , no, yes, Count of Q3 Owner HHs, count of HH in this segment, 
q4r, int, long, , no, yes, Count of Q4 Renter HHs, count of HH in this segment,
q4r, int, long, , no, yes, Count of Q4 Owner HHs, count of HH in this segment,
