runid,scenario_urbansim,year,shrs1,shrs2,shrs3,shrs4,shrq1,shrq2,shrq3,shrq4,shrw0,shrw1,shrw2,shrw3,shra1,shra2,shra3,shra4,shrn,shry
RC6_COVID,20: No Project (Plan Bay Area 2050),2010,0.27,0.3102,0.1631,0.2568,0.2762,0.2579,0.225,0.2409,0.1882,0.3659,0.3367,0.1091,0.2467,0.2113,0.4187,0.1233,0.6703,0.3297
RC6_COVID,20: No Project (Plan Bay Area 2050),2015,0.2135,0.3056,0.1757,0.3052,0.2566,0.2449,0.2178,0.2807,0.1932,0.3256,0.3265,0.1547,0.2316,0.218,0.4085,0.1418,0.6684,0.3316
RC6_COVID,20: No Project (Plan Bay Area 2050),2020,0.214,0.3134,0.1754,0.2972,0.2452,0.2257,0.2331,0.296,0.2024,0.3254,0.3227,0.1495,0.221,0.2136,0.4047,0.1607,0.6823,0.3177
RC6_COVID,20: No Project (Plan Bay Area 2050),2025,0.2298,0.3191,0.1677,0.2834,0.2646,0.2231,0.1967,0.3156,0.2299,0.3268,0.3025,0.1408,0.2111,0.2088,0.3981,0.1821,0.7044,0.2956
RC6_COVID,20: No Project (Plan Bay Area 2050),2030,0.2159,0.3255,0.1673,0.2912,0.2612,0.2096,0.1973,0.332,0.2197,0.3086,0.3083,0.1634,0.2002,0.2026,0.3937,0.2035,0.7131,0.2869
RC6_COVID,20: No Project (Plan Bay Area 2050),2035,0.2235,0.3316,0.1672,0.2776,0.2616,0.2025,0.1948,0.341,0.228,0.3132,0.3007,0.1582,0.1913,0.1949,0.3976,0.2162,0.7299,0.2701
RC6_COVID,20: No Project (Plan Bay Area 2050),2040,0.2241,0.3347,0.1668,0.2745,0.2588,0.1951,0.1947,0.3514,0.2295,0.3126,0.3002,0.1576,0.1866,0.1922,0.3978,0.2234,0.7348,0.2652
RC6_COVID,20: No Project (Plan Bay Area 2050),2045,0.2153,0.3367,0.1692,0.2788,0.255,0.1877,0.1959,0.3614,0.2241,0.3112,0.3028,0.1619,0.1844,0.1924,0.3947,0.2285,0.7337,0.2663
RC6_COVID,20: No Project (Plan Bay Area 2050),2050,0.213,0.3374,0.1663,0.2833,0.2512,0.1794,0.1971,0.3723,0.2245,0.3084,0.3027,0.1643,0.1819,0.1879,0.3884,0.2418,0.7348,0.2652
