region_2,variable,year,value
ABAG/MTC,BIRTHS,2010,21745.0
ABAG/MTC,BIRTHS,2011,87984.0
ABAG/MTC,BIRTHS,2012,86094.0
ABAG/MTC,BIRTHS,2013,88005.0
ABAG/MTC,BIRTHS,2014,87212.0
ABAG/MTC,BIRTHS,2015,88141.0
ABAG/MTC,BIRTHS,2016,87528.0
ABAG/MTC,BIRTHS,2017,85467.0
ABAG/MTC,BIRTHS,2018,82406.0
ABAG/MTC,BIRTHS,2019,81321.0
ABAG/MTC,BIRTHS,2020,80467.0
ABAG/MTC,BIRTHS,2021,75029.0
ABAG/MTC,BIRTHS,2022,77244.0
ABAG/MTC,DEATHS,2010,-10844.0
ABAG/MTC,DEATHS,2011,-45541.0
ABAG/MTC,DEATHS,2012,-45481.0
ABAG/MTC,DEATHS,2013,-46797.0
ABAG/MTC,DEATHS,2014,-45971.0
ABAG/MTC,DEATHS,2015,-47864.0
ABAG/MTC,DEATHS,2016,-48290.0
ABAG/MTC,DEATHS,2017,-49562.0
ABAG/MTC,DEATHS,2018,-49956.0
ABAG/MTC,DEATHS,2019,-51334.0
ABAG/MTC,DEATHS,2020,-58042.0
ABAG/MTC,DEATHS,2021,-59008.0
ABAG/MTC,DEATHS,2022,-53936.0
ABAG/MTC,DOMESTICMIG,2010,-3399.0
ABAG/MTC,DOMESTICMIG,2011,4311.0
ABAG/MTC,DOMESTICMIG,2012,14848.0
ABAG/MTC,DOMESTICMIG,2013,17933.0
ABAG/MTC,DOMESTICMIG,2014,11508.0
ABAG/MTC,DOMESTICMIG,2015,-2201.0
ABAG/MTC,DOMESTICMIG,2016,-30839.0
ABAG/MTC,DOMESTICMIG,2017,-49971.0
ABAG/MTC,DOMESTICMIG,2018,-55400.0
ABAG/MTC,DOMESTICMIG,2019,-66631.0
ABAG/MTC,DOMESTICMIG,2020,-86461.0
ABAG/MTC,DOMESTICMIG,2021,-199998.0
ABAG/MTC,DOMESTICMIG,2022,-130144.0
ABAG/MTC,INTERNATIONALMIG,2010,7121.0
ABAG/MTC,INTERNATIONALMIG,2011,37467.0
ABAG/MTC,INTERNATIONALMIG,2012,37091.0
ABAG/MTC,INTERNATIONALMIG,2013,42796.0
ABAG/MTC,INTERNATIONALMIG,2014,48682.0
ABAG/MTC,INTERNATIONALMIG,2015,56759.0
ABAG/MTC,INTERNATIONALMIG,2016,51337.0
ABAG/MTC,INTERNATIONALMIG,2017,45367.0
ABAG/MTC,INTERNATIONALMIG,2018,33080.0
ABAG/MTC,INTERNATIONALMIG,2019,21177.0
ABAG/MTC,INTERNATIONALMIG,2020,16980.0
ABAG/MTC,INTERNATIONALMIG,2021,17348.0
ABAG/MTC,INTERNATIONALMIG,2022,47534.0
ABAG/MTC,RESIDUAL,2010,-378.0
ABAG/MTC,RESIDUAL,2011,-110.0
ABAG/MTC,RESIDUAL,2012,-484.0
ABAG/MTC,RESIDUAL,2013,-289.0
ABAG/MTC,RESIDUAL,2014,-353.0
ABAG/MTC,RESIDUAL,2015,-375.0
ABAG/MTC,RESIDUAL,2016,-160.0
ABAG/MTC,RESIDUAL,2017,-142.0
ABAG/MTC,RESIDUAL,2018,-137.0
ABAG/MTC,RESIDUAL,2019,-46.0
ABAG/MTC,RESIDUAL,2020,-75.0
ABAG/MTC,RESIDUAL,2021,-9337.0
ABAG/MTC,RESIDUAL,2022,1467.0
Halo Central Valley,BIRTHS,2010,7533.0
Halo Central Valley,BIRTHS,2011,30690.0
Halo Central Valley,BIRTHS,2012,29680.0
Halo Central Valley,BIRTHS,2013,29557.0
Halo Central Valley,BIRTHS,2014,29955.0
Halo Central Valley,BIRTHS,2015,29948.0
Halo Central Valley,BIRTHS,2016,29934.0
Halo Central Valley,BIRTHS,2017,29428.0
Halo Central Valley,BIRTHS,2018,29167.0
Halo Central Valley,BIRTHS,2019,28846.0
Halo Central Valley,BIRTHS,2020,28820.0
Halo Central Valley,BIRTHS,2021,27200.0
Halo Central Valley,BIRTHS,2022,28068.0
Halo Central Valley,DEATHS,2010,-4036.0
Halo Central Valley,DEATHS,2011,-16820.0
Halo Central Valley,DEATHS,2012,-17103.0
Halo Central Valley,DEATHS,2013,-17204.0
Halo Central Valley,DEATHS,2014,-17565.0
Halo Central Valley,DEATHS,2015,-18446.0
Halo Central Valley,DEATHS,2016,-18732.0
Halo Central Valley,DEATHS,2017,-19405.0
Halo Central Valley,DEATHS,2018,-19798.0
Halo Central Valley,DEATHS,2019,-20167.0
Halo Central Valley,DEATHS,2020,-21870.0
Halo Central Valley,DEATHS,2021,-23985.0
Halo Central Valley,DEATHS,2022,-21979.0
Halo Central Valley,DOMESTICMIG,2010,162.0
Halo Central Valley,DOMESTICMIG,2011,101.0
Halo Central Valley,DOMESTICMIG,2012,151.0
Halo Central Valley,DOMESTICMIG,2013,2751.0
Halo Central Valley,DOMESTICMIG,2014,6850.0
Halo Central Valley,DOMESTICMIG,2015,8913.0
Halo Central Valley,DOMESTICMIG,2016,11466.0
Halo Central Valley,DOMESTICMIG,2017,13840.0
Halo Central Valley,DOMESTICMIG,2018,9843.0
Halo Central Valley,DOMESTICMIG,2019,10729.0
Halo Central Valley,DOMESTICMIG,2020,2989.0
Halo Central Valley,DOMESTICMIG,2021,1145.0
Halo Central Valley,DOMESTICMIG,2022,-5707.0
Halo Central Valley,INTERNATIONALMIG,2010,1092.0
Halo Central Valley,INTERNATIONALMIG,2011,5232.0
Halo Central Valley,INTERNATIONALMIG,2012,4879.0
Halo Central Valley,INTERNATIONALMIG,2013,6023.0
Halo Central Valley,INTERNATIONALMIG,2014,6831.0
Halo Central Valley,INTERNATIONALMIG,2015,8212.0
Halo Central Valley,INTERNATIONALMIG,2016,7815.0
Halo Central Valley,INTERNATIONALMIG,2017,6767.0
Halo Central Valley,INTERNATIONALMIG,2018,4554.0
Halo Central Valley,INTERNATIONALMIG,2019,2612.0
Halo Central Valley,INTERNATIONALMIG,2020,2158.0
Halo Central Valley,INTERNATIONALMIG,2021,3361.0
Halo Central Valley,INTERNATIONALMIG,2022,9167.0
Halo Central Valley,RESIDUAL,2010,-98.0
Halo Central Valley,RESIDUAL,2011,-25.0
Halo Central Valley,RESIDUAL,2012,-300.0
