runid,scenario_urbansim,year,shrs1,shrs2,shrs3,shrs4,shrq1,shrq2,shrq3,shrq4,shrw0,shrw1,shrw2,shrw3,shra1,shra2,shra3,shra4,shrn,shry
R6H2C_COVID_cross,23: Blueprint Plus Crossing,2010,0.27,0.3102,0.1631,0.2568,0.2762,0.2579,0.225,0.2409,0.1882,0.3659,0.3367,0.1091,0.2467,0.2113,0.4187,0.1233,0.6703,0.3297
R6H2C_COVID_cross,23: Blueprint Plus Crossing,2015,0.2132,0.3031,0.1772,0.3066,0.2566,0.2449,0.2178,0.2807,0.1923,0.3284,0.3258,0.1535,0.2335,0.217,0.4079,0.1416,0.6658,0.3342
R6H2C_COVID_cross,23: Blueprint Plus Crossing,2020,0.2125,0.3143,0.1741,0.2991,0.2448,0.2255,0.2335,0.2962,0.2013,0.3249,0.3251,0.1488,0.2217,0.2129,0.4048,0.1606,0.6815,0.3185
R6H2C_COVID_cross,23: Blueprint Plus Crossing,2025,0.231,0.3185,0.1687,0.2818,0.2662,0.2247,0.2003,0.3087,0.2286,0.3266,0.3032,0.1416,0.214,0.2077,0.3972,0.1811,0.7002,0.2998
R6H2C_COVID_cross,23: Blueprint Plus Crossing,2030,0.2366,0.325,0.1654,0.2731,0.2657,0.214,0.1994,0.3209,0.2242,0.3208,0.3049,0.1501,0.2033,0.203,0.3936,0.2001,0.716,0.284
R6H2C_COVID_cross,23: Blueprint Plus Crossing,2035,0.2421,0.331,0.1635,0.2634,0.2694,0.2099,0.1962,0.3245,0.2284,0.3222,0.301,0.1485,0.1919,0.1994,0.3981,0.2107,0.7339,0.2661
R6H2C_COVID_cross,23: Blueprint Plus Crossing,2040,0.2643,0.3312,0.1615,0.2429,0.2709,0.2063,0.195,0.3278,0.2381,0.3357,0.2949,0.1313,0.1921,0.1939,0.4002,0.2138,0.7412,0.2588
R6H2C_COVID_cross,23: Blueprint Plus Crossing,2045,0.2687,0.331,0.1599,0.2404,0.2715,0.2026,0.1952,0.3307,0.2414,0.339,0.2925,0.1271,0.1913,0.1937,0.3969,0.2181,0.7423,0.2577
R6H2C_COVID_cross,23: Blueprint Plus Crossing,2050,0.2687,0.3328,0.159,0.2395,0.2722,0.198,0.1954,0.3344,0.2434,0.3391,0.2923,0.1252,0.191,0.1898,0.3917,0.2276,0.742,0.258
