year,q1_households,q2_households,q3_households,q4_households
2010,711590,664489,579677,620657
2015,703575,646472,574747,740940
2020,690549,612393,635451,801498
2025,807883,653407,580411,894475
2030,881734,678491,633583,1014879
2035,974136,723456,678535,1116051
2040,1042260,755018,718233,1198032
2045,1095696,776054,754818,1266272
2050,1144901,788738,787856,1333065
