year,q1_households,q2_households,q3_households,q4_households
2010,711590,664489,579677,620657
2015,703575,646472,574747,740940
2020,690549,612393,635451,801498
2025,806976,653850,582032,900073
2030,883765,681254,635550,1022349
2035,977180,726739,680255,1124134
2040,1046082,758570,719879,1206461
2045,1100192,779725,756476,1274802
2050,1150017,792456,789549,1341616
