county,county_name,year,shr_occ_management,shr_occ_manual,shr_occ_professional,shr_occ_retail,shr_occ_services,shr_occ_military
1,San Francisco,2010,0.1466,0.24286,0.19496,0.16839,0.24485,0.00235
1,San Francisco,2015,0.15053,0.23959,0.20409,0.16799,0.23603,0.00178
1,San Francisco,2020,0.15753,0.23979,0.21846,0.1507,0.23162,0.0019
1,San Francisco,2025,0.15514,0.24441,0.21405,0.16524,0.21947,0.00168
1,San Francisco,2030,0.15771,0.2416,0.21649,0.16536,0.21733,0.0015
1,San Francisco,2035,0.15902,0.24051,0.21906,0.1655,0.21447,0.00144
1,San Francisco,2040,0.16066,0.2398,0.2209,0.16549,0.21178,0.00136
1,San Francisco,2045,0.16268,0.23909,0.22311,0.1645,0.20932,0.0013
1,San Francisco,2050,0.16442,0.23901,0.22505,0.1637,0.20657,0.00124
2,San Mateo,2010,0.13288,0.30205,0.16306,0.17643,0.22259,0.00298
2,San Mateo,2015,0.13092,0.31017,0.16891,0.16642,0.22121,0.00237
2,San Mateo,2020,0.13921,0.29704,0.18906,0.15083,0.22121,0.00265
2,San Mateo,2025,0.13686,0.30543,0.18438,0.16093,0.21009,0.00232
2,San Mateo,2030,0.13975,0.2997,0.18943,0.16109,0.20797,0.00206
2,San Mateo,2035,0.1413,0.29744,0.19283,0.16142,0.20506,0.00195
2,San Mateo,2040,0.14275,0.29598,0.19552,0.16187,0.20206,0.00183
2,San Mateo,2045,0.14459,0.2939,0.1991,0.16139,0.1993,0.00173
2,San Mateo,2050,0.14639,0.29201,0.2028,0.16075,0.19643,0.00163
3,Santa Clara,2010,0.13368,0.28038,0.20653,0.16023,0.21624,0.00294
3,Santa Clara,2015,0.13584,0.27923,0.21253,0.15838,0.21148,0.00253
3,Santa Clara,2020,0.14104,0.27669,0.2261,0.14379,0.2098,0.00259
3,Santa Clara,2025,0.14034,0.2739,0.22499,0.15652,0.20187,0.00239
3,Santa Clara,2030,0.14298,0.26969,0.22699,0.15736,0.20087,0.00211
3,Santa Clara,2035,0.14454,0.26747,0.22971,0.15784,0.19844,0.002
3,Santa Clara,2040,0.14606,0.26566,0.23213,0.15855,0.19575,0.00186
3,Santa Clara,2045,0.14814,0.26281,0.23587,0.15814,0.19329,0.00175
