county,county_name,year,shr_occ_management,shr_occ_manual,shr_occ_professional,shr_occ_retail,shr_occ_services,shr_occ_military
3,Santa Clara,2050,0.15027,0.26003,0.23991,0.15743,0.19071,0.00164
4,Alameda,2010,0.11786,0.30195,0.18367,0.16154,0.23053,0.00445
4,Alameda,2015,0.11695,0.31813,0.17832,0.16264,0.22014,0.00382
4,Alameda,2020,0.12059,0.32158,0.18886,0.14864,0.2163,0.00403
4,Alameda,2025,0.11923,0.32311,0.18546,0.16176,0.20683,0.00361
4,Alameda,2030,0.12081,0.31891,0.1874,0.16292,0.2067,0.00325
4,Alameda,2035,0.12161,0.31763,0.18923,0.16333,0.20506,0.00312
4,Alameda,2040,0.12225,0.31736,0.19025,0.16391,0.20328,0.00296
4,Alameda,2045,0.12314,0.31725,0.19159,0.16355,0.20164,0.00283
4,Alameda,2050,0.12398,0.3175,0.19287,0.16313,0.19983,0.0027
5,Contra Costa,2010,0.12298,0.29575,0.16777,0.18123,0.22862,0.00365
5,Contra Costa,2015,0.11996,0.31049,0.16365,0.17958,0.22304,0.00329
5,Contra Costa,2020,0.12306,0.31387,0.17209,0.1633,0.22417,0.00351
5,Contra Costa,2025,0.12087,0.32296,0.16652,0.17523,0.21136,0.00306
5,Contra Costa,2030,0.12229,0.31839,0.1681,0.17703,0.2114,0.00279
5,Contra Costa,2035,0.12304,0.31651,0.1695,0.17798,0.21026,0.00271
5,Contra Costa,2040,0.12363,0.31663,0.16963,0.17895,0.20857,0.00258
5,Contra Costa,2045,0.12444,0.31742,0.16994,0.1789,0.20681,0.00249
5,Contra Costa,2050,0.12519,0.31834,0.17044,0.17864,0.20499,0.0024
6,Solano,2010,0.09724,0.30773,0.15926,0.18427,0.20861,0.0429
6,Solano,2015,0.09549,0.32408,0.15691,0.18499,0.20232,0.03621
6,Solano,2020,0.09805,0.33214,0.16486,0.1653,0.20087,0.03879
6,Solano,2025,0.0961,0.33808,0.16017,0.17988,0.19127,0.0345
6,Solano,2030,0.09623,0.33487,0.16068,0.18372,0.19267,0.03182
6,Solano,2035,0.09615,0.3339,0.16127,0.18519,0.19247,0.03102
6,Solano,2040,0.09598,0.33348,0.16112,0.1872,0.19226,0.02996
6,Solano,2045,0.09599,0.33445,0.16065,0.18787,0.19178,0.02927
6,Solano,2050,0.09597,0.33602,0.16005,0.1883,0.19112,0.02855
7,Napa,2010,0.10441,0.37352,0.13999,0.18982,0.18979,0.00247
7,Napa,2015,0.10136,0.38457,0.13269,0.19268,0.1867,0.00201
7,Napa,2020,0.10459,0.38887,0.14149,0.17609,0.18676,0.00221
7,Napa,2025,0.10297,0.39267,0.13499,0.19019,0.17728,0.0019
7,Napa,2030,0.1043,0.38924,0.13569,0.19168,0.17733,0.00175
7,Napa,2035,0.10479,0.38884,0.13625,0.19223,0.17617,0.00172
7,Napa,2040,0.1053,0.38823,0.13663,0.19305,0.17513,0.00167
7,Napa,2045,0.10597,0.38906,0.13658,0.19278,0.17397,0.00164
7,Napa,2050,0.10665,0.39033,0.13644,0.19216,0.1728,0.00162
8,Sonoma,2010,0.1108,0.33237,0.15539,0.18542,0.21047,0.00555
8,Sonoma,2015,0.1058,0.34569,0.15098,0.18888,0.20394,0.00472
8,Sonoma,2020,0.10826,0.35153,0.15745,0.17355,0.20368,0.00554
8,Sonoma,2025,0.10673,0.35716,0.15144,0.18658,0.19328,0.00481
8,Sonoma,2030,0.10776,0.35382,0.15252,0.18788,0.19364,0.00438
8,Sonoma,2035,0.10819,0.35303,0.1535,0.18857,0.19247,0.00424
8,Sonoma,2040,0.10864,0.35223,0.15423,0.18945,0.19137,0.00409
8,Sonoma,2045,0.10932,0.35254,0.15488,0.18909,0.19018,0.004
8,Sonoma,2050,0.10998,0.35345,0.15541,0.18838,0.18886,0.00391
9,Marin,2010,0.13084,0.28175,0.17186,0.18022,0.23177,0.00356
9,Marin,2015,0.13,0.29238,0.17205,0.18433,0.21841,0.00283
9,Marin,2020,0.1359,0.29606,0.18251,0.16724,0.21537,0.00292
9,Marin,2025,0.13431,0.3029,0.17716,0.18061,0.20245,0.00257
9,Marin,2030,0.13686,0.29961,0.1799,0.17992,0.20139,0.00232
9,Marin,2035,0.13811,0.29968,0.18099,0.18033,0.19866,0.00223
9,Marin,2040,0.13943,0.29957,0.18196,0.18082,0.19609,0.00214
9,Marin,2045,0.14118,0.29887,0.18404,0.17997,0.19387,0.00208
9,Marin,2050,0.14294,0.29857,0.18629,0.17858,0.1916,0.00203
